x,y,R
0.170697758,-10.57690495,0.7
0.174343215,-9.59309448,0.7
0.178320077,-9.367911193,0.7
0.178320077,-9.077140542,0.7
0.188262232,-8.880378447,0.7
0.190250663,-8.841026028,0.7
0.196215956,-8.694547579,0.7
0.212454808,-8.694547579,0.7
0.212454808,-8.589607795,0.7
0.232339118,-8.471550538,0.7
0.252223427,-8.419080646,0.7
0.264485418,-8.32507209,0.7
0.284369728,-8.285719671,0.7
0.300277175,-8.19389736,0.7
0.314196192,-8.141427468,0.7
0.328446614,-8.036487684,0.7
0.34236563,-7.903126708,0.7
0.350319354,-7.811304397,0.7
0.366226802,-7.69324714,0.7
0.376168956,-7.573003637,0.7
0.380145818,-7.601424829,0.7
0.396384671,-7.441828907,0.7
0.41428055,-7.336889123,0.7
0.422234273,-7.284419231,0.7
0.430187997,-7.218831866,0.7
0.442118583,-7.137940783,0.7
0.462334297,-7.006766053,0.7
0.474264883,-6.888708796,0.7
0.480230176,-6.849356377,0.7
0.492160762,-6.650408036,0.7
0.492160762,-6.742230347,0.7
0.508068209,-6.545468252,0.7
0.526295493,-6.506115833,0.7
0.526295493,-6.372754858,0.7
0.534249217,-6.427410995,0.7
0.548168233,-6.307167493,0.7
0.560098819,-6.241580128,0.7
0.566064112,-6.202227709,0.7
0.57236081,-6.16287529,0.7
0.588268257,-6.097287925,0.7
0.600198843,-5.963926949,0.7
0.610140998,-5.898339584,0.7
0.610140998,-5.780282327,0.7
0.626048445,-5.675342543,0.7
0.634333574,-5.528864095,0.7
0.640298867,-5.581333987,0.7
0.642287298,-5.384571892,0.7
0.648252591,-5.437041784,0.7
0.650241022,-5.318984527,0.7
0.466976725,-10.8271071,0.5
0.467640919,-9.903523924,0.5
0.478268023,-9.302427031,0.5
0.489559322,-8.92728992,0.5
0.492880293,-8.826375843,0.5
0.510813532,-8.729849335,0.5
0.51546289,-8.646485532,0.5
0.548008399,-8.567509298,0.5
0.577897131,-8.466595222,0.5
0.616420387,-8.345937086,0.5
0.66291397,-8.205534893,0.5
0.691474315,-8.170434344,0.5
0.727340793,-8.054163777,0.5
0.766528243,-7.915955368,0.5
0.779812124,-7.779940743,0.5
0.801066333,-7.689995587,0.5
0.849552499,-7.437710395,0.5
0.876120261,-7.30169577,0.5
0.903352218,-7.187618988,0.5
0.935233532,-7.023085167,0.5
0.963793876,-6.95288407,0.5
1.004973908,-6.808094308,0.5
1.033534252,-6.680854819,0.5
